option,option_return,score,loss,epsilon,eval_clears
5802,0.3728166834932106,447,18.203662872314453,0.8622025,
5858,0.7085635337875376,335,16.244850158691406,0.8608725,
5910,0.776800968083244,341,13.573080062866211,0.8596375,
5964,-2.6787989254352085,480,16.749128341674805,0.858355,
6019,12.307913860614462,444,10.160326957702637,0.85704875,
6076,0.6412393133878087,332,18.03264808654785,0.855695,
6135,0.796615573388175,338,9.937016487121582,0.85429375,
6187,0.2508557574849995,341,18.690711975097656,0.85305875,
6241,-2.7152922267268043,489,9.58464241027832,0.85177625,
6298,1.5584516282360417,465,10.547780990600586,0.8504225,
6356,0.7590329584024117,320,13.502782821655273,0.849045,
6410,0.7371867275845009,447,10.892464637756348,0.8477625,
6464,0.776800968083244,465,10.517831802368164,0.84648,
6523,-2.691455529365349,341,10.931920051574707,0.84507875,
6577,0.2876920826220732,459,9.0629243850708,0.84379625,
6633,41.485714612446095,444,9.277997016906738,0.84246625,
6688,-2.697595564330978,489,16.707477569580078,0.84116,
6744,-2.697595564330978,483,12.763609886169434,0.8398300000000001,
6794,-2.685190826819048,450,13.467105865478516,0.8386425,
6845,0.6694813985237691,459,9.315744400024414,0.8374312500000001,
6895,-2.7124163906331358,338,4.599831581115723,0.83624375,
6952,1.8429315675882691,480,13.047987937927246,0.83489,
7007,-2.6945409740716952,341,25.303382873535156,0.8335837500000001,
7063,-2.668966911678986,468,12.971334457397461,0.83225375,
7117,18.036479263934204,444,11.171695709228516,0.8309712499999999,
7168,-2.7209579114149407,486,13.075044631958008,0.82976,
7227,-2.668966911678986,489,12.438674926757812,0.82835875,
7281,0.6237450922951495,335,17.84970474243164,0.82707625,
7333,0.14770894757644662,338,25.42613983154297,0.8258412500000001,
7389,0.7947484526093375,338,20.73130226135254,0.82451125,
7445,-2.6883389185508575,341,5.194692134857178,0.82318125,
7499,1.3181083731040144,453,15.259885787963867,0.82189875,
7555,0.6108681151364724,459,6.55128288269043,0.8205687500000001,
7608,-2.7872742967709807,338,18.630699157714844,0.81931,
7664,0.7590329584024117,477,9.686996459960938,0.81798,
7719,-2.668966911678986,338,8.318653106689453,0.81667375,
7776,0.47417444263466346,453,19.124305725097656,0.81532,
7830,0.8872420934352171,453,10.764248847961426,0.8140375,
7887,0.5405051029339121,335,7.5683159828186035,0.81268375,
7939,0.6268852103114206,450,23.01584243774414,0.81144875,
7998,-2.668966911678986,341,22.01499366760254,0.8100475,
8054,0.8311891160180975,462,16.329071044921875,0.8087175,
8108,2.7384422186823065,456,19.036109924316406,0.807435,
8162,2.249964690502602,329,9.921476364135742,0.8061525,
8217,2.7837881765384305,471,15.497125625610352,0.80484625,
8270,0.6567136948221094,314,15.034469604492188,0.8035875,
8325,0.8872420934352171,314,24.36611557006836,0.8022812500000001,
8382,-2.668966911678986,486,7.770719051361084,0.8009275,
8436,-2.709511505690036,489,22.965036392211914,0.7996449999999999,
8490,21.44867546799383,444,21.250934600830078,0.7983625,
8547,-2.668966911678986,468,12.88416862487793,0.79700875,
8604,0.7414426288183874,474,22.55598258972168,0.795655,
8660,0.8879475834780748,483,19.35772705078125,0.794325,
8714,0.8879475834780748,450,19.615737915039062,0.7930425,
8767,-2.706577278474784,329,8.786190032958984,0.79178375,
8821,0.5852088209495403,332,18.489608764648438,0.79050125,
8878,0.4594326982083169,338,22.56466293334961,0.7891475,
8939,0.9845024599717602,450,6.142406463623047,0.78769875,
8992,0.7590329584024117,468,11.804088592529297,0.78644,
9049,-2.7124163906331358,489,11.317384719848633,0.78508625,
