option,option_return,score,loss,epsilon,eval_clears
56,-2.7647833707595897,341,0.0,0.99867,
111,0.8683696725008649,308,0.0,0.99736375,
167,1.4634867459884409,320,0.0,0.99603375,
222,0.7414426288183874,462,0.0,0.9947275,
277,0.6584986695511073,335,0.0,0.99342125,
332,-2.7237483323007914,332,0.0,0.992115,
383,-2.7209579114149407,323,0.0,0.99090375,
437,0.5109639375701988,311,0.0,0.98962125,
493,-2.7209579114149407,459,0.0,0.98829125,
549,-2.697595564330978,323,0.0,0.98696125,
605,-2.706577278474784,193,0.0,0.98563125,
653,0.6903516935232216,332,0.0,0.98449125,
704,-2.697595564330978,317,0.0,0.98328,
758,0.5914325649584762,329,0.0,0.9819975,
814,0.7608629234777504,332,0.0,0.9806675,
867,3.0614241304072825,468,0.0,0.97940875,
920,-2.7036134126007916,341,0.0,0.97815,
974,0.5999248037219176,480,0.0,0.9768675,
1029,-2.6787989254352085,456,61.48591613769531,0.97556125,
1085,0.2551972851307408,326,61.161376953125,0.97423125,
1140,0.6567136948221094,338,55.380409240722656,0.972925,
1192,-2.668966911678986,480,38.79401397705078,0.97169,
1249,-2.6820109361808564,338,55.405113220214844,0.97033625,
1304,1.1859710637305858,320,49.777915954589844,0.9690300000000001,
1361,-2.6787989254352085,338,51.4913444519043,0.96767625,
1414,0.20911642784739867,317,38.712345123291016,0.9664175,
1468,2.156124557069613,450,50.48091125488281,0.965135,
1522,-2.7694641816814736,175,46.77136993408203,0.9638525,
1575,-2.7600075204158654,459,47.4417839050293,0.96259375,
1629,-2.7036134126007916,193,39.31816101074219,0.9613112500000001,
1681,34.74239357068816,444,39.73402404785156,0.96007625,
1735,-2.7292457404880057,471,37.895076751708984,0.95879375,
1793,-2.668966911678986,329,44.51803207397461,0.95741625,
1846,0.7596905212246526,468,35.66988754272461,0.9561575,
1903,0.7590329584024117,453,40.31524658203125,0.95480375,
1952,-2.675554470136574,338,40.49894714355469,0.95364,
2005,0.7246726798522821,329,42.56801223754883,0.95238125,
2064,1.3258502357025146,477,42.37892150878906,0.95098,
2120,-2.7624074452117067,184,60.56836700439453,0.94965,
2171,-2.697595564330978,335,40.02942657470703,0.94843875,
2226,1.2922752131819955,305,45.09120178222656,0.9471325,
2282,-2.6722772425621963,320,46.613868713378906,0.9458025,
2329,0.9450108610183221,450,52.60725784301758,0.94468625,
2382,-2.6787989254352085,341,40.42522430419922,0.9434275,
2437,0.9063051448840576,302,43.94430923461914,0.94212125,
2494,0.7555193124253204,456,40.641563415527344,0.9407675,
2551,-2.7209579114149407,326,50.78919219970703,0.93941375,
2604,-2.7006196086876684,335,47.327911376953125,0.938155,
2661,-2.7292457404880057,320,45.908958435058594,0.93680125,
2717,0.27955485971261934,465,41.20674514770508,0.93547125,
2774,-2.6883389185508575,338,40.500240325927734,0.9341175,
2831,-2.7265108489777834,341,35.98602294921875,0.93276375,
2881,-2.7124163906331358,335,32.49831771850586,0.93157625,
2935,0.1779675665190587,341,36.64085388183594,0.93029375,
2991,0.27382902962668765,341,35.30448913574219,0.92896375,
3047,2.3644402089437033,329,45.80501937866211,0.92763375,
3103,0.6036971701911527,338,36.208248138427734,0.92630375,
3156,2.9040208304665414,468,34.74051284790039,0.925045,
3213,0.8872420934352171,447,44.0118293762207,0.92369125,
3267,0.47417444263466346,332,36.745262145996094,0.92240875,
3320,0.7590329584024117,450,39.29534149169922,0.92115,
3375,-2.7237483323007914,335,43.65052032470703,0.91984375,
3428,-2.6820109361808564,471,42.684844970703125,0.918585,
3481,0.796615573388175,465,40.40523910522461,0.91732625,
3538,-2.691455529365349,314,43.472530364990234,0.9159725,
3591,-2.7124163906331358,326,31.598369598388672,0.91471375,
3647,1.6431381097837405,338,36.18558883666992,0.9133837499999999,
3698,0.9845024599717602,302,41.171390533447266,0.9121725,
3752,-2.7526613141061316,317,43.744380950927734,0.91089,
3807,-2.7292457404880057,468,44.571170806884766,0.90958375,
3862,-2.7036134126007916,338,37.39680099487305,0.9082775,
3915,0.6897200412998525,314,34.80183792114258,0.90701875,
3969,0.7954193666203986,335,36.19650650024414,0.90573625,
4024,0.4650050247103255,320,41.63562774658203,0.9044300000000001,
4082,0.3740269147498704,305,43.31657028198242,0.9030525,
4136,-2.7575833539554195,341,34.41265106201172,0.90177,
4189,-2.691455529365349,480,44.664268493652344,0.90051125,
4242,1.090381948036017,459,39.5778923034668,0.8992525,
4294,2.024995063871154,341,43.310272216796875,0.8980175,
4345,-2.7575833539554195,341,40.66315460205078,0.89680625,
4397,-2.668966911678986,172,40.37680435180664,0.89557125,
4453,0.796615573388175,332,33.345947265625,0.89424125,
4506,32.99066064533418,444,37.20241928100586,0.8929825,
4558,2.3505223829973003,462,38.88157653808594,0.8917475,
4613,43.663464471854525,296,42.85761260986328,0.89044125,
4665,-2.668966911678986,341,34.30977249145508,0.88920625,
4719,-2.691455529365349,341,43.65568923950195,0.88792375,
4777,0.1936801288208276,335,37.72819900512695,0.88654625,
4830,0.6374669469185736,335,31.248783111572266,0.8852875,
4885,0.1779675665190587,450,31.912200927734375,0.88398125,
4940,0.796615573388175,338,39.597408294677734,0.882675,
4994,0.007145928133508259,468,38.798370361328125,0.8813925,
5000,,,32.87442398071289,0.88125,2.933333333333333
