step,episode_return,episode_score,loss,epsilon,eval_score
506,-120.34445790154763,0,0.0,0.995193,
859,-130.8621689510639,0,0.0,0.9918395,
1486,-124.77502098864022,0,0.0,0.985883,
2242,-122.9095962424662,0,14.153728485107422,0.978701,
2737,-114.2104205851135,0,15.250473976135254,0.9739985,
3136,-125.29474701226277,0,23.708194732666016,0.970208,
3527,-128.22647164150055,0,28.32107925415039,0.9664935,
4214,-104.00724083296988,0,20.980751037597656,0.959967,
4639,-122.71750635049801,0,6.948224067687988,0.9559295,
4881,-133.0171640175246,0,9.263002395629883,0.9536305,
5293,-122.55259615447528,0,11.866161346435547,0.9497165,
5624,-128.0315402899354,0,19.47610092163086,0.946572,
5992,-130.8276362781648,0,16.85822105407715,0.943076,
6331,-127.60371161983659,0,8.868741989135742,0.9398555,
7253,-109.20959623000438,0,12.459156036376953,0.9310965,
7504,-132.9696497657458,0,8.064006805419922,0.928712,
7771,-130.27692716513056,0,9.669737815856934,0.9261755,
8223,-119.86683416804419,0,5.888179779052734,0.9218815,
8473,-132.88285448693887,0,27.808143615722656,0.9195065,
8750,-133.09542174950707,0,9.140201568603516,0.916875,
9247,-123.4549313950624,0,16.23033905029297,0.9121535000000001,
9829,-114.9387024527371,0,18.040494918823242,0.9066244999999999,
10212,-134.30612018124282,0,8.964815139770508,0.902986,
10454,-132.94182380273338,0,11.513525009155273,0.900687,
10777,-124.65626084749607,0,18.086383819580078,0.8976185,
11041,-133.02889800678966,0,4.24368953704834,0.8951105,
11392,-127.8272916165489,0,16.538246154785156,0.891776,
11670,-127.22204672924158,0,17.05070686340332,0.889135,
12013,-128.13283459481642,0,4.249450206756592,0.8858765,
12292,-133.38639610836876,0,3.7060463428497314,0.883226,
12810,-117.06003557416085,0,10.219069480895996,0.878305,
13717,-114.97178680296703,0,5.495450973510742,0.8696885000000001,
14168,-128.77662995105658,0,2.219240665435791,0.8654040000000001,
14404,-132.95728055619298,0,2.8593573570251465,0.863162,
14833,-125.93242461945374,0,4.136209011077881,0.8590865,
15104,-126.95582501604147,0,3.258301258087158,0.8565119999999999,
15366,-133.1164288188673,0,4.169339656829834,0.854023,
16173,-132.17356069508855,0,1.8493553400039673,0.8463565,
16681,-126.70970869044217,0,1.6154654026031494,0.8415305,
17096,-122.71085529846042,0,0.8583345413208008,0.837588,
17521,-128.21672667947865,0,3.072758197784424,0.8335505,
18086,-123.52199721658423,0,4.148281574249268,0.828183,
18533,-128.7270064412583,0,2.219602346420288,0.8239365000000001,
18784,-133.10149366924827,0,7.770483493804932,0.8215520000000001,
19350,-102.3062980510687,0,2.818084239959717,0.816175,
19623,-133.01819995842325,0,1.7509639263153076,0.8135815,
20000,,,2.889432430267334,0.81,0.0
20110,-126.23905252188929,0,3.5589423179626465,0.808955,
20358,-133.0947729071778,0,5.941619873046875,0.8065990000000001,
20612,-133.0243397575259,0,2.790904998779297,0.8041860000000001,
21622,-109.97448548089334,0,1.9662628173828125,0.794591,
22217,-127.12070119593827,0,5.882374286651611,0.7889385,
22784,-123.975872523226,0,2.6349377632141113,0.783552,
23383,-112.1781655132954,0,2.4346423149108887,0.7778615,
23641,-133.29213389188277,0,3.866370439529419,0.7754105,
24241,-127.53656856124495,0,1.339268684387207,0.7697105,
24481,-133.18083689076678,0,1.6864556074142456,0.7674305,
24897,-122.67685217667797,0,3.135806083679199,0.7634785,
25252,-130.94832834457154,0,4.278907299041748,0.760106,
25687,-129.05602717005064,0,2.452639579772949,0.7559735000000001,
26031,-130.92174129775674,0,1.8839386701583862,0.7527055,
26285,-126.89871901023513,0,2.031142234802246,0.7502925,
26548,-132.88006640677946,0,3.090071678161621,0.7477940000000001,
27035,-128.92611350446228,0,0.9095990657806396,0.7431675,
27606,-126.27954693302414,0,1.7217612266540527,0.737743,
28178,-124.21041929926756,0,2.3895139694213867,0.7323090000000001,
28930,-122.35355168745,0,1.684558391571045,0.7251650000000001,
29651,-116.66603789203668,0,2.269444465637207,0.7183155,
30080,-116.79299471596964,0,3.120108127593994,0.71424,
30384,-130.332085392995,0,1.5942063331604004,0.711352,
30632,-133.10596764020096,0,1.2696329355239868,0.708996,
30923,-133.317260381515,0,1.034084677696228,0.7062315,
31256,-130.69796140263043,0,1.5018454790115356,0.703068,
31839,-118.18034129565012,0,1.7114406824111938,0.6975295,
32172,-130.70097277762977,0,1.1311347484588623,0.694366,
32517,-130.95945260486215,0,1.374936580657959,0.6910885,
32913,-128.17780190774863,0,1.0825645923614502,0.6873265000000001,
33163,-133.00019968711544,0,2.2489757537841797,0.6849515,
33970,-120.16162378792319,0,4.909244060516357,0.677285,
35398,-113.71289034548062,0,1.6153299808502197,0.663719,
35737,-130.93302530520143,0,1.0949842929840088,0.6604985,
36479,-116.38593282927911,0,1.524287462234497,0.6534495,
36802,-130.65691313414354,0,0.6668795943260193,0.650381,
37286,-128.82049854394543,0,0.8140773773193359,0.645783,
37968,-118.90053894576897,0,1.0810757875442505,0.639304,
38311,-131.04893385139576,0,1.546227216720581,0.6360455,
39348,-116.23279374718621,0,3.1117589473724365,0.626194,
40000,,,5.064859390258789,0.62,0.0
40222,-132.75833292641403,0,2.473909854888916,0.617891,
40583,-131.0846970309197,0,2.8583908081054688,0.6144615,
41307,-119.55812840485737,0,1.0375745296478271,0.6075835,
42302,-127.58038074319853,0,2.2980239391326904,0.598131,
42982,-112.76390348865112,0,1.2489185333251953,0.5916710000000001,
